id,eventId,siteUnitNumber,bathingSite,eventStart,eventStop,duration,activity,associatedSiteId,outfallName,isImpacting
80554911,672507,12616,GURNARD,2022-11-17T17:00:00,2022-11-17T18:00:01.973,60,Under Review - Non Impacting,109704,EGYPT POINT COWES,False
80554960,667243,12617,COWES,2022-11-15T06:38:44,2022-11-17T18:00:01.973,3561,Genuine ,109705,SPRINGHILL COWES TRANSFER,False
80555054,672507,12617,COWES,2022-11-17T17:00:00,2022-11-17T18:00:01.973,60,Under Review ,109704,EGYPT POINT COWES,False
80555144,672057,12616,GURNARD,2022-11-17T07:52:51,2022-11-17T18:00:01.973,607,Under Review - Non Impacting,109706,HIGH STREET COWES,False
80555325,668939,12549,HERNE BAY CENTRAL,2022-11-16T08:04:13,2022-11-17T18:00:01.973,2035,Genuine - Non Impacting,109830,SWALECLIFFE NO1,False
80555938,668939,12548,TANKERTON,2022-11-16T08:04:13,2022-11-17T18:00:01.973,2035,Genuine ,109830,SWALECLIFFE NO1,False
80555990,667544,12605,STOKES BAY,2022-11-15T09:45:00,2022-11-17T18:00:01.973,3375,Genuine ,109732,PEEL COMMON,False
80555991,667544,12603,EASTNEY,2022-11-15T09:45:00,2022-11-17T18:00:01.973,3375,Genuine - Non Impacting,109732,PEEL COMMON,False
80556025,667544,12604,SOUTHSEA EAST,2022-11-15T09:45:00,2022-11-17T18:00:01.973,3375,Genuine - Non Impacting,109732,PEEL COMMON,False
80556223,669987,12661,LANGSTONE HARBOUR,2022-11-16T17:58:57,2022-11-17T18:00:01.973,1441,Under Review ,109819,COURT LANE COSHAM,False
80556250,668900,12577,BEXHILL,2022-11-16T07:44:35,2022-11-17T18:00:01.973,2055,Genuine ,109903,BEXHILL & HASTINGS NO2,False
80556293,667544,12607,HILLHEAD,2022-11-15T09:45:00,2022-11-17T18:00:01.973,3375,Genuine - Non Impacting,109732,PEEL COMMON,False
80556376,667532,12591,LITTLEHAMPTON,2022-11-15T09:23:03,2022-11-17T18:00:01.973,3396,Genuine ,109977,FORESHORE TANK LITTLEHAMPTON,False
80556423,672057,12617,COWES,2022-11-17T07:52:51,2022-11-17T18:00:01.973,607,Under Review - Non Impacting,109706,HIGH STREET COWES,False
80556613,669160,12549,HERNE BAY CENTRAL,2022-11-16T09:44:46,2022-11-17T18:00:01.973,1935,Under Review ,109835,SWALECLIFFE NO2,False
80556997,667544,12606,LEE-ON-SOLENT,2022-11-15T09:45:00,2022-11-17T18:00:01.973,3375,Genuine ,109732,PEEL COMMON,False
80557430,668900,12576,ST LEONARDS,2022-11-16T07:44:35,2022-11-17T18:00:01.973,2055,Genuine ,109903,BEXHILL & HASTINGS NO2,False
80557678,668438,12596,PAGHAM,2022-11-15T19:56:00,2022-11-17T18:00:01.973,2764,Genuine - Non Impacting,109959,WEST PARK BOGNOR REGIS,False
80557679,668438,12594,BOGNOR REGIS EAST,2022-11-15T19:56:00,2022-11-17T18:00:01.973,2764,Genuine ,109959,WEST PARK BOGNOR REGIS,False
80558289,669961,12572,LITTLESTONE,2022-11-16T17:58:00,2022-11-17T18:00:01.973,1442,Under Review ,109908,NEW ROMNEY,False
80558301,669160,12548,TANKERTON,2022-11-16T09:44:46,2022-11-17T18:00:01.973,1935,Under Review - Non Impacting,109835,SWALECLIFFE NO2,False
80558685,667364,12662,CHICHESTER HARBOUR,2022-11-15T08:03:37,2022-11-17T18:00:01.973,3476,Genuine ,109850,THORNHAM,False
80558950,669205,12596,PAGHAM,2022-11-16T09:30:00,2022-11-17T18:00:01.973,1950,Genuine ,109973,ALDWICK AVENUE BOGNOR,False
80558951,669205,12594,BOGNOR REGIS EAST,2022-11-16T09:30:00,2022-11-17T18:00:01.973,1950,Genuine ,109973,ALDWICK AVENUE BOGNOR,False
80558974,669205,12595,BOGNOR REGIS (ALDWICK),2022-11-16T09:30:00,2022-11-17T18:00:01.973,1950,Genuine ,109973,ALDWICK AVENUE BOGNOR,False
80558999,670181,12547,WEST BEACH WHITSTABLE,2022-11-16T18:56:07,2022-11-17T18:00:01.973,1383,Genuine - Non Impacting,109832,GORREL NO1,False
80559475,670181,12548,TANKERTON,2022-11-16T18:56:07,2022-11-17T18:00:01.973,1383,Genuine ,109832,GORREL NO1,False
